local_x,local_y,road_z,lanelet_id
-3.069489881804288984e+02,5.405884477687341416e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.069787760798956811e+02,5.699155898952349020e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.070085594066406998e+02,5.992427324863815841e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.070383600234956134e+02,6.285698733205086342e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.070681470365855148e+02,6.578970155374587137e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.070979299006320389e+02,6.872241581756026108e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.071277221459202451e+02,7.165512998606979522e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.071576159731836242e+02,7.458784312061288801e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.071875432264531582e+02,7.752055591459004802e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.072173981186091396e+02,8.045326944557618276e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.072471787980794602e+02,8.338598373162022881e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.072769408524868595e+02,8.631869820639124669e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.073067393558487765e+02,8.925141231108209183e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.073365380304176142e+02,9.218412641409179287e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.073663151663549797e+02,9.511684073591317201e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.073961167432157708e+02,9.804955480949938362e+01,0.000000000000000000e+00,4.265000000000000000e+03
-3.074259059635386393e+02,1.009822690087027723e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.074557061204947104e+02,1.039149830967634642e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.074854895194294500e+02,1.068476973551294691e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.075152759640598106e+02,1.097804115825899771e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.075450764641437900e+02,1.127131256671853805e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.075748604561337629e+02,1.156458399195612969e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.076046530148455531e+02,1.185785540848948187e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.076344495304247744e+02,1.215112682100333927e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.076642307089373958e+02,1.244439824909315746e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.076940256219259027e+02,1.273766966322494341e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.077238216604737318e+02,1.303094107622276852e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.077536023702510875e+02,1.332421250478673187e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.077834023562883772e+02,1.361748391377207668e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.078131940486964595e+02,1.391075533118649901e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.078429774976983708e+02,1.420402675697501991e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.078727709651147961e+02,1.449729817258435958e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.079025649248108039e+02,1.479056958769301673e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.079323481414596699e+02,1.508384101371638053e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.079621480781925129e+02,1.537711242274690449e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.079919376641856275e+02,1.567038384229649068e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.080217353326020771e+02,1.596365525363225970e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.080515163790973929e+02,1.625692668185203900e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.080813099520448759e+02,1.655019809732442013e+02,0.000000000000000000e+00,4.265000000000000000e+03
-3.081093164999999772e+02,1.684347045000000094e+02,-4.000000000000000083e-03,4.265000000000000000e+03
-3.122000964999999724e+02,7.235953000000000301e+00,-5.290000000000000258e-01,4.266000000000000000e+03
-3.122288574629227469e+02,1.004062753317298018e+01,0.000000000000000000e+00,4.266000000000000000e+03
-3.122586565837115131e+02,1.297704531590135169e+01,0.000000000000000000e+00,4.266000000000000000e+03
-3.122884686373432146e+02,1.591346296742285205e+01,0.000000000000000000e+00,4.266000000000000000e+03
-3.123182710718887165e+02,1.884988071660009012e+01,0.000000000000000000e+00,4.266000000000000000e+03
-3.123480799061148900e+02,2.178629840088365910e+01,0.000000000000000000e+00,4.266000000000000000e+03
-3.123778848515567574e+02,2.472271612463998380e+01,0.000000000000000000e+00,4.266000000000000000e+03
-3.124076923701022679e+02,2.765913382232191253e+01,0.000000000000000000e+00,4.266000000000000000e+03
